jj,amount,label
2.208,143.643,BestIndividual
2.199,143.674,BestIndividual
2.135,137.53,BestIndividual
1.948,142.381,BestIndividual
1.703,142.386,BestIndividual
1.7,142.408,BestIndividual
1.671,142.489,BestIndividual
1.671,142.488,BestIndividual
1.669,142.425,BestIndividual
1.668,142.436,BestIndividual
1.619,142.444,BestIndividual
1.618,142.436,BestIndividual
1.616,142.411,BestIndividual
1.589,142.899,BestIndividual
1.588,142.898,BestIndividual
1.577,142.859,BestIndividual
1.567,142.605,BestIndividual
1.544,142.792,BestIndividual
1.539,142.819,BestIndividual
1.534,142.815,BestIndividual
1.521,142.804,BestIndividual
1.52,142.804,BestIndividual
1.482,142.998,BestIndividual
1.48,143.002,BestIndividual
1.476,142.917,BestIndividual
1.457,142.895,BestIndividual
1.423,142.907,BestIndividual
1.417,142.942,BestIndividual
1.414,142.947,BestIndividual
1.412,142.979,BestIndividual
1.412,142.926,BestIndividual
1.411,142.927,BestIndividual
134.129,862.013,BestOverall
128.488,857.35,BestOverall
222.746,829.162,BestOverall
194.402,826.28,BestOverall
5.902,814.851,BestOverall
43.668,172.334,BestOverall
35.383,157.176,BestOverall
15.122,148.773,BestOverall
14.695,148.535,BestOverall
14.695,147.953,BestOverall
13.463,140.443,BestOverall
13.323,140.859,BestOverall
13.06,141.788,BestOverall
10.597,141.788,BestOverall
7.64,141.226,BestOverall
5.888,140.636,BestOverall
5.385,141.011,BestOverall
5.306,140.69,BestOverall
5.153,140.69,BestOverall
4.706,142.717,BestOverall
4.177,142.811,BestOverall
3.536,139.946,BestOverall
3.299,139.933,BestOverall
3.272,140.057,BestOverall
3.271,140.085,BestOverall
3.178,142.922,BestOverall
2.807,146.275,BestOverall
2.726,143.738,BestOverall
1.827,148.794,BestOverall
1.827,148.594,BestOverall
1.819,148.535,BestOverall
1.716,148.456,BestOverall
1.694,146.699,BestOverall
1.554,147.557,BestOverall
1.533,149.871,BestOverall
1.471,148.889,BestOverall
1.46,142.806,BestOverall
1.445,142.796,BestOverall
1.435,142.581,BestOverall
1.386,142.564,BestOverall
1.442,134.843,BestOverall
1.439,133.614,BestOverall
1.439,133.615,BestOverall
1.439,133.606,BestOverall
1.433,133.773,BestOverall
1.419,133.977,BestOverall
1.419,133.463,BestOverall
1.417,133.426,BestOverall
1.38,134.959,BestOverall
1.376,134.945,BestOverall
1.377,134.865,BestOverall
1.338,135.553,BestOverall
1.332,135.685,BestOverall
1.26,135.594,BestOverall
1.257,135.581,BestOverall
1.214,137.455,BestOverall
1.189,137.535,BestOverall
1.103,145.888,BestOverall
1.052,147.496,BestOverall
1.044,146.073,BestOverall
0.957,146.268,BestOverall
1.007,139.083,BestOverall
1.007,139.055,BestOverall
1.034,133.639,BestOverall
0.981,136.1,BestOverall
0.981,136.085,BestOverall
0.979,135.724,BestOverall
1.016,131.315,BestOverall
1.017,130.256,BestOverall
0.96,130.256,BestOverall
0.975,130.081,BestOverall
0.978,130.067,BestOverall
0.978,130.041,BestOverall
1.006,127.81,BestOverall
0.987,127.158,BestOverall
0.986,126.95,BestOverall
0.985,126.934,BestOverall
0.988,126.934,BestOverall
0.992,126.214,BestOverall
0.997,124.893,BestOverall
0.995,124.388,BestOverall
0.995,124.382,BestOverall
1.002,123.788,BestOverall
0.971,123.872,BestOverall
0.971,123.823,BestOverall
0.976,123.373,BestOverall
0.976,123.291,BestOverall
0.986,123.244,BestOverall
0.909,122.657,BestOverall
0.922,122.618,BestOverall
0.991,122.098,BestOverall
0.913,122.097,BestOverall
0.999,121.814,BestOverall
0.945,121.396,BestOverall
0.914,121.311,BestOverall
0.983,121.131,BestOverall
0.936,120.942,BestOverall
0.935,120.673,BestOverall
50.101,39353.29,BestInitial
9.524,10845.422,BestIndividual
143.629,9472.22,BestIndividual
9.535,2642.714,BestIndividual
7.503,537.285,BestIndividual
11.461,518.509,BestIndividual
19.344,484.635,BestIndividual
26.157,457.43,BestIndividual
25.981,457.331,BestIndividual
23.175,339.994,BestIndividual
23.457,134.122,BestIndividual
22.137,134.049,BestIndividual
22.126,114.564,BestIndividual
22.078,116.341,BestIndividual
21.925,110.035,BestIndividual
11.475,145.332,BestIndividual
9.447,147.664,BestIndividual
9.415,140.296,BestIndividual
8.627,145.233,BestIndividual
8.615,146.831,BestIndividual
8.372,136.563,BestIndividual
7.931,136.571,BestIndividual
7.769,133.824,BestIndividual
5.985,141.587,BestIndividual
5.624,142.095,BestIndividual
5.398,140.255,BestIndividual
5.398,140.258,BestIndividual
5.327,140.069,BestIndividual
5.216,140.08,BestIndividual
5.214,140.053,BestIndividual
5.128,139.498,BestIndividual
4.703,132.341,BestIndividual
4.389,136.549,BestIndividual
4.23,136.932,BestIndividual
4.23,137.328,BestIndividual
4.086,137.355,BestIndividual
4.062,132.936,BestIndividual
3.688,131.836,BestIndividual
3.4,126.075,BestIndividual
