jj,amount,label
4.52,140.32,BestIndividual
4.47,139.47,BestIndividual
4.38,137.93,BestIndividual
4.26,139.91,BestIndividual
4.2,138.84,BestIndividual
4.04,139.12,BestIndividual
4.02,139.12,BestIndividual
4.02,139.11,BestIndividual
3.9,139.84,BestIndividual
3.64,139.85,BestIndividual
3.64,139.77,BestIndividual
3.59,140.2,BestIndividual
3.57,139.32,BestIndividual
3.53,140.19,BestIndividual
3.24,140.2,BestIndividual
3.04,144.74,BestIndividual
2.93,145.17,BestIndividual
2.9,145.3,BestIndividual
2.68,145.17,BestIndividual
2.67,145.88,BestIndividual
2.67,145.78,BestIndividual
2.42,145.78,BestIndividual
2.41,145.77,BestIndividual
2.21,143.65,BestIndividual
2.2,143.68,BestIndividual
2.14,137.53,BestIndividual
1.95,142.39,BestIndividual
1.7,142.41,BestIndividual
1.68,142.49,BestIndividual
1.67,142.43,BestIndividual
1.67,142.44,BestIndividual
1.62,142.45,BestIndividual
1.62,142.42,BestIndividual
1.59,142.9,BestIndividual
1.58,142.86,BestIndividual
1.57,142.61,BestIndividual
1.55,142.8,BestIndividual
1.49,143,BestIndividual
1.48,143.01,BestIndividual
1.48,142.92,BestIndividual
1.43,142.91,BestIndividual
1.42,142.95,BestIndividual
1.42,142.98,BestIndividual
1.42,142.93,BestIndividual
1.42,142.93,BestLast
134.13,862.02,BestOverall
128.49,857.35,BestOverall
222.75,829.17,BestOverall
194.41,826.28,BestOverall
5.91,814.86,BestOverall
43.67,172.34,BestOverall
35.39,157.18,BestOverall
15.13,148.78,BestOverall
14.7,148.54,BestOverall
14.7,147.96,BestOverall
13.47,140.45,BestOverall
13.33,140.86,BestOverall
13.06,141.79,BestOverall
10.6,141.79,BestOverall
7.64,141.23,BestOverall
5.89,140.64,BestOverall
5.39,141.02,BestOverall
5.31,140.69,BestOverall
5.16,140.69,BestOverall
4.71,142.72,BestOverall
4.18,142.82,BestOverall
3.54,139.95,BestOverall
3.3,139.94,BestOverall
3.28,140.06,BestOverall
3.28,140.09,BestOverall
3.18,142.93,BestOverall
2.81,146.28,BestOverall
2.73,143.74,BestOverall
1.83,148.8,BestOverall
1.82,148.54,BestOverall
1.72,148.46,BestOverall
1.7,146.7,BestOverall
1.56,147.56,BestOverall
1.54,149.88,BestOverall
1.48,148.89,BestOverall
1.39,142.57,BestOverall
1.45,134.85,BestOverall
1.44,133.62,BestOverall
1.44,133.61,BestOverall
1.44,133.78,BestOverall
1.42,133.98,BestOverall
1.42,133.47,BestOverall
1.42,133.43,BestOverall
1.38,134.96,BestOverall
1.38,134.95,BestOverall
1.38,134.87,BestOverall
1.34,135.56,BestOverall
1.34,135.69,BestOverall
1.26,135.6,BestOverall
1.26,135.59,BestOverall
1.22,137.46,BestOverall
1.19,137.54,BestOverall
1.11,145.89,BestOverall
1.06,147.5,BestOverall
1.05,146.08,BestOverall
0.96,146.27,BestOverall
1.01,139.09,BestOverall
1.04,133.64,BestOverall
0.99,136.1,BestOverall
0.99,136.09,BestOverall
0.98,135.73,BestOverall
1.02,131.32,BestOverall
1.02,130.26,BestOverall
0.98,130.09,BestOverall
0.98,130.07,BestOverall
0.98,130.05,BestOverall
1.01,127.81,BestOverall
0.99,127.16,BestOverall
0.99,126.95,BestOverall
0.99,126.94,BestOverall
1,126.22,BestOverall
1,124.9,BestOverall
1,124.39,BestOverall
1.01,123.79,BestOverall
0.98,123.88,BestOverall
0.98,123.83,BestOverall
0.98,123.3,BestOverall
0.99,123.25,BestOverall
0.91,122.66,BestOverall
0.93,122.62,BestOverall
1,122.1,BestOverall
0.92,122.1,BestOverall
1,121.82,BestOverall
0.95,121.4,BestOverall
0.92,121.32,BestOverall
0.99,121.14,BestOverall
0.94,120.95,BestOverall
0.94,120.68,BestOverall
50.11,39353.29,BestInitial
9.53,10845.43,BestIndividual
143.63,9472.22,BestIndividual
9.54,2642.72,BestIndividual
7.51,537.29,BestIndividual
11.47,518.51,BestIndividual
19.35,484.64,BestIndividual
26.16,457.43,BestIndividual
25.99,457.34,BestIndividual
